epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1317.96,1.21664,1.20194,1.25755,0.79261,0.89091,0.92637,0.64867,1.10313,1.64753,1.36014,0.000540037,0.000540037,0.000540037
43,1349.81,1.21563,1.19911,1.2621,0.94983,0.76379,0.92515,0.64952,1.08163,1.63246,1.35104,0.000531038,0.000531038,0.000531038
44,1381.61,1.25781,1.18181,1.24639,0.98089,0.80655,0.94959,0.65486,1.04189,1.62057,1.31486,0.000522039,0.000522039,0.000522039
45,1413.35,1.14365,1.09763,1.19346,0.94802,0.87148,0.96283,0.66924,1.01369,1.53788,1.28839,0.00051304,0.00051304,0.00051304
46,1445.33,1.18921,1.13162,1.23914,0.96124,0.90086,0.97025,0.67653,0.98628,1.46776,1.25821,0.00050404,0.00050404,0.00050404
47,1477.46,1.26557,1.15083,1.24931,0.91999,0.93838,0.97387,0.68478,0.98841,1.44647,1.24276,0.000495041,0.000495041,0.000495041
48,1509.8,1.14305,1.09847,1.19721,0.96899,0.92697,0.97973,0.70413,0.95254,1.28587,1.20387,0.000486042,0.000486042,0.000486042
49,1539.88,1.08291,1.10208,1.20705,0.94882,0.92032,0.97946,0.72211,0.93985,1.25905,1.19771,0.000477043,0.000477043,0.000477043
50,1570.1,1.13132,1.18593,1.22065,0.95255,0.88055,0.97263,0.71057,0.93614,1.24201,1.19834,0.000468044,0.000468044,0.000468044
51,1600.56,1.17489,1.11351,1.20855,0.95439,0.87244,0.97177,0.7123,0.92552,1.24935,1.19338,0.000459045,0.000459045,0.000459045
52,1631.26,1.19964,1.11231,1.23413,0.89168,0.94355,0.96261,0.70703,0.92115,1.23467,1.20061,0.000450046,0.000450046,0.000450046
53,1661.75,1.09515,1.1099,1.19732,0.89742,0.94399,0.96446,0.7133,0.89782,1.20934,1.19754,0.000441047,0.000441047,0.000441047
54,1692.04,1.15032,1.07971,1.21661,0.92571,0.92489,0.96703,0.71455,0.90609,1.22503,1.19693,0.000432048,0.000432048,0.000432048
55,1722.25,1.0551,1.04161,1.17963,0.92913,0.92049,0.96944,0.70651,0.91755,1.21984,1.19369,0.000423049,0.000423049,0.000423049
56,1752.56,1.11446,1.07404,1.20847,0.92512,0.94587,0.97559,0.71611,0.90034,1.14568,1.17794,0.000414049,0.000414049,0.000414049
