epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.7312,1.15805,2.81305,1.36976,0.00333,1,0.24402,0.1492,0.80277,2.99276,1.15322,4e-05,4e-05,4e-05
2,33.9985,1.04621,2.64086,1.3421,0.00333,1,0.7338,0.56744,0.66894,2.92411,1.05144,9.802e-05,9.802e-05,9.802e-05
3,49.8842,0.99423,2.241,1.28397,0.00333,1,0.86613,0.68442,0.63513,2.81015,1.01381,0.000153664,0.000153664,0.000153664
4,65.4765,0.92575,1.44768,1.18969,0.95781,0.56782,0.97799,0.78666,0.72604,2.48738,1.15938,0.000206932,0.000206932,0.000206932
5,81.7023,0.85286,1.24338,1.13564,1,0.90986,0.99451,0.83264,0.68362,2.33937,1.06539,0.000257824,0.000257824,0.000257824
6,97.0274,0.99706,1.14974,1.12884,1,0.52885,0.99088,0.83689,0.66607,2.51553,1.03047,0.00030634,0.00030634,0.00030634
7,112.331,0.96233,1.37323,1.21895,1,0.15726,0.97943,0.80849,0.65042,2.76266,1.03677,0.00035248,0.00035248,0.00035248
8,127.641,0.9802,1.40794,1.21194,1,0.06528,0.98241,0.79012,0.7081,2.85756,1.08695,0.000396244,0.000396244,0.000396244
9,143.035,0.90005,1.32814,1.19105,1,0.10973,0.99451,0.81223,0.65307,2.73496,1.01249,0.000437632,0.000437632,0.000437632
10,158.337,0.90518,1.35619,1.18061,1,0.32384,0.99451,0.82888,0.65693,2.60747,1.00936,0.000476644,0.000476644,0.000476644
11,173.576,0.93072,1.18913,1.17856,1,0.52381,0.99405,0.78897,0.69204,2.48149,1.04065,0.00051328,0.00051328,0.00051328
12,188.829,1.00937,1.24679,1.28098,1,0.62014,0.995,0.77226,0.71023,2.45046,1.048,0.00054754,0.00054754,0.00054754
13,204.644,0.80734,1.16441,1.1231,1,0.93485,0.9933,0.77423,0.74298,2.18845,1.11932,0.000579424,0.000579424,0.000579424
14,220.091,0.86692,1.1274,1.12299,0.97783,0.9,0.99256,0.7864,0.71954,2.18934,1.08864,0.000608932,0.000608932,0.000608932
15,235.35,0.84537,1.19928,1.10848,1,0.98655,0.995,0.79377,0.7183,2.10053,1.05616,0.000636064,0.000636064,0.000636064
16,250.633,0.9292,1.1519,1.19023,0.9717,0.85862,0.98389,0.71855,0.8305,2.24684,1.15462,0.00066082,0.00066082,0.00066082
17,266.341,0.92528,1.13714,1.15171,0.75398,0.9,0.85809,0.54218,1.10221,2.326,1.36137,0.0006832,0.0006832,0.0006832
18,281.77,0.95804,1.23255,1.19248,0.74028,0.92638,0.84405,0.53756,1.14759,2.15231,1.37232,0.000703204,0.000703204,0.000703204
19,297.096,0.81724,1.0152,1.05097,0.94264,0.725,0.90328,0.5899,1.03754,2.01152,1.28577,0.000720832,0.000720832,0.000720832
20,312.908,0.89671,1.08229,1.13949,0.9112,0.76968,0.91492,0.55877,1.07438,2.02996,1.32407,0.000736084,0.000736084,0.000736084
21,328.773,0.84466,1.13891,1.18649,0.85975,0.91964,0.91179,0.56307,1.06822,1.9643,1.33488,0.00074896,0.00074896,0.00074896
22,344.904,0.78353,1.00308,1.08411,0.81735,0.89507,0.92961,0.63355,0.97596,1.96045,1.27483,0.00075946,0.00075946,0.00075946
23,360.519,0.80871,1.02625,1.098,0.92402,0.9,0.96013,0.55442,1.04192,2.03767,1.3076,0.000767584,0.000767584,0.000767584
24,376.147,0.77794,0.96777,1.04785,0.94555,0.86844,0.93831,0.58634,0.99363,1.94051,1.27105,0.000773332,0.000773332,0.000773332
25,391.513,0.86217,0.96103,1.13163,0.96749,0.875,0.9611,0.59078,0.96616,1.8579,1.25006,0.000776704,0.000776704,0.000776704
26,407.239,0.78368,0.96488,1.06666,1,0.8959,0.97018,0.68474,0.867,1.72438,1.18553,0.0007777,0.0007777,0.0007777
27,423.121,0.89307,1.0177,1.08066,0.94805,0.91256,0.96934,0.66931,0.88685,1.74247,1.19721,0.00077632,0.00077632,0.00077632
