epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,438.738,0.81769,0.92934,1.13223,0.94109,0.79873,0.93485,0.57353,1.11118,2.05242,1.29657,0.000772564,0.000772564,0.000772564
29,454.492,0.8217,0.93238,1.08339,0.94109,0.79873,0.93485,0.57353,1.11118,2.05242,1.29657,0.000766432,0.000766432,0.000766432
30,470.293,0.76558,0.9561,1.07396,0.91101,0.76794,0.91208,0.54202,1.2882,2.0819,1.37768,0.000757924,0.000757924,0.000757924
31,485.858,0.77312,0.92132,1.04835,0.90128,0.8,0.90417,0.59834,1.22303,2.00121,1.3087,0.00074704,0.00074704,0.00074704
32,501.473,0.68598,0.88589,1.08021,0.91725,0.8,0.83841,0.47393,1.43871,2.15522,1.53669,0.00073378,0.00073378,0.00073378
33,517.079,0.77825,0.93014,1.06402,0.91725,0.8,0.83841,0.47393,1.43871,2.15522,1.53669,0.000718144,0.000718144,0.000718144
34,532.529,0.74679,0.80091,1.03364,0.80198,0.6,0.69253,0.29524,1.80196,2.54948,1.96825,0.0006932,0.0006932,0.0006932
35,548.14,0.78535,0.9094,1.11678,0.73024,0.54159,0.59395,0.27008,1.82783,2.68106,2.07488,0.0006536,0.0006536,0.0006536
36,564.755,0.84552,0.88319,1.10703,0.90894,0.49912,0.66955,0.34864,1.60057,2.51716,1.80747,0.000614,0.000614,0.000614
37,580.17,0.7532,0.88754,1.07232,0.90894,0.49912,0.66955,0.34864,1.60057,2.51716,1.80747,0.0005744,0.0005744,0.0005744
38,595.797,0.72069,0.79487,1.06891,0.93016,0.775,0.84377,0.56656,1.07308,2.12925,1.28328,0.0005348,0.0005348,0.0005348
39,611.096,0.69526,0.89379,1.07415,0.94665,0.88743,0.94912,0.71062,0.8022,1.78803,1.09859,0.0004952,0.0004952,0.0004952
40,626.783,0.63671,0.7978,0.9973,0.94795,0.95,0.98384,0.83368,0.59285,1.44353,0.98275,0.0004556,0.0004556,0.0004556
41,642.266,0.52256,1.04827,0.96028,0.94795,0.95,0.98384,0.83368,0.59285,1.44353,0.98275,0.000416,0.000416,0.000416
42,657.601,0.52488,1.03226,0.90469,0.9797,0.975,0.99451,0.83566,0.58807,1.37216,0.96448,0.0003764,0.0003764,0.0003764
43,672.712,0.50494,1.04161,0.99284,1,0.9964,0.995,0.87659,0.49641,1.20059,0.90502,0.0003368,0.0003368,0.0003368
44,688.013,0.52344,0.99538,0.98894,0.99907,1,0.995,0.89048,0.49834,1.08744,0.89778,0.0002972,0.0002972,0.0002972
45,703.218,0.65673,1.0394,1.0195,0.99907,1,0.995,0.89048,0.49834,1.08744,0.89778,0.0002576,0.0002576,0.0002576
46,718.759,0.57357,0.96247,0.94366,0.99796,1,0.995,0.89807,0.48091,1.01544,0.88372,0.000218,0.000218,0.000218
47,734.278,0.55109,0.97075,0.88814,0.99807,1,0.995,0.90425,0.46,0.99309,0.86644,0.0001784,0.0001784,0.0001784
48,780.59,0.51824,0.97671,0.94702,0.99822,1,0.995,0.90423,0.43687,0.97293,0.85622,0.0001388,0.0001388,0.0001388
49,796.214,0.45476,0.92117,0.896,0.99822,1,0.995,0.90423,0.43687,0.97293,0.85622,9.92e-05,9.92e-05,9.92e-05
50,811.739,0.43317,0.93883,0.86645,0.99834,1,0.995,0.9092,0.41987,0.94401,0.84797,5.96e-05,5.96e-05,5.96e-05
